Title,Status,Priority,Sprint,Estimate,Labels
"Setup inicial (Docker, Django, React)",Done,High,Sprint 1-5,5d,"infrastructure,setup"
"Autenticação Keycloak",Done,High,Sprint 1-5,3d,"security,auth"
"Patient CRUD completo",Done,High,Sprint 1-5,5d,"fhir,patient"
"Encounter management",Done,High,Sprint 6-10,3d,"fhir,encounter"
"Observation (Sinais Vitais)",Done,Medium,Sprint 6-10,2d,"fhir,observation"
"Condition (Diagnósticos)",Done,Medium,Sprint 6-10,2d,"fhir,condition"
"MedicationRequest (Prescrições)",Done,Medium,Sprint 6-10,2d,"fhir,medication"
"Agendamentos (Appointment/Schedule/Slot)",Done,High,Sprint 6-10,4d,"fhir,scheduling"
"Documentos Clínicos (Composition + PDF)",Done,High,Sprint 8,3d,"fhir,documents"
"Dashboard & Analytics",Done,High,Sprint 9,4d,"analytics,dashboard"
"Portal do Paciente",Done,Medium,Sprint 5,3d,"patient-portal"
"Módulo Financeiro",Done,Medium,Sprint 6,4d,"financial"
"Imunização",Done,Low,Sprint 10,2d,"fhir,immunization"
"Resultados de Exames",Done,Medium,Sprint 10,2d,"fhir,diagnostics"
"Auditoria (Provenance)",Done,High,Sprint 11,2d,"fhir,audit,security"
"Exportação ($everything)",Done,Medium,Sprint 11,2d,"fhir,export"
"IA - Resumo Clínico",Done,Low,Sprint 12,3d,"ai,ml"
"IA - Interações Medicamentosas",Done,Medium,Sprint 12,2d,"ai,ml,safety"
"Chat/Mensagens (Mattermost)",Done,Low,Sprint 15,3d,"communication"
"Visitantes (RelatedPerson)",Done,Low,Sprint 14,2d,"fhir,visitors"
"Gestão de Leitos - Hierarquia",Done,High,Sprint 16,3d,"fhir,ipd,location"
"Gestão de Leitos - Admissão/Alta",Done,High,Sprint 16,3d,"fhir,ipd"
"Gestão de Leitos - Transferência",Done,High,Sprint 17,2d,"fhir,ipd"
"Gestão de Leitos - Bloqueio/Desbloqueio",Done,Medium,Sprint 17,1d,"fhir,ipd"
"Gestão de Leitos - Histórico",Done,Medium,Sprint 17,2d,"fhir,ipd"
"Gestão de Leitos - Limpeza",Done,Medium,Sprint 16,1d,"fhir,ipd"
"Practitioner API (Backend)",Done,High,Sprint 18,2d,"fhir,practitioner,api"
"PractitionerRole API",Done,High,Sprint 18,1d,"fhir,practitioner,api"
"Identificadores Brasileiros (CPF, CRM)",Done,High,Sprint 18,1d,"fhir,localization"
"FHIR R4 Compliance Audit",Done,High,Sprint 18,2d,"fhir,qa,documentation"
"Fix Card component TypeScript",Done,Low,Sprint 18,0.5d,"frontend,bugfix"
"Documentação atualizada",Done,Medium,Sprint 18,1d,"documentation"
